x-axis,1,2,F1
second,Volt,Volt,Volt
+118.00000E-06,+14.60251463748E+00,+14.74778863756E+00,+145.21014982E-03
+118.05000E-06,+14.60108894006E+00,+14.74638530934E+00,+145.23172731E-03
+118.10000E-06,+14.59973356964E+00,+14.74602012888E+00,+146.22068233E-03
+118.15000E-06,+14.59804515019E+00,+14.74477421574E+00,+146.66361562E-03
+118.20000E-06,+14.59683019634E+00,+14.74330085224E+00,+146.40443679E-03
+118.25000E-06,+14.59483189529E+00,+14.74134513906E+00,+146.44800440E-03
+118.30000E-06,+14.59339353963E+00,+14.73983778003E+00,+146.37843892E-03
+118.35000E-06,+14.59187349673E+00,+14.73869342907E+00,+146.75448239E-03
+118.40000E-06,+14.59004955651E+00,+14.73719836948E+00,+147.08312428E-03
+118.45000E-06,+14.58880486902E+00,+14.73600267549E+00,+147.13221045E-03
+118.50000E-06,+14.58683609357E+00,+14.73516534175E+00,+148.26312387E-03
+118.55000E-06,+14.58519002077E+00,+14.73333633085E+00,+148.07970188E-03
+118.60000E-06,+14.58383660642E+00,+14.73208476360E+00,+148.18142226E-03
+118.65000E-06,+14.58193794314E+00,+14.73080547606E+00,+148.80121692E-03
+118.70000E-06,+14.58061895246E+00,+14.72966937674E+00,+148.98343995E-03
+118.75000E-06,+14.57881893423E+00,+14.72788837263E+00,+149.00276132E-03
+118.80000E-06,+14.57737775114E+00,+14.72706775700E+00,+149.62259712E-03
+118.85000E-06,+14.57590989777E+00,+14.72560633791E+00,+149.62994102E-03
+118.90000E-06,+14.57440306488E+00,+14.72420671980E+00,+149.73660468E-03
+118.95000E-06,+14.57240225299E+00,+14.72305965824E+00,+150.58993949E-03
+119.00000E-06,+14.57098863491E+00,+14.72212384303E+00,+151.06828483E-03
+119.05000E-06,+14.56917973337E+00,+14.72052427021E+00,+151.27768712E-03
+119.10000E-06,+14.56783695110E+00,+14.71872491833E+00,+150.82118857E-03
+119.15000E-06,+14.56608592561E+00,+14.72160080652E+00,+155.44652712E-03
+119.20000E-06,+14.55961726062E+00,+14.71324780462E+00,+153.56267445E-03
+119.25000E-06,+14.54979323948E+00,+14.70280059964E+00,+152.93983379E-03
+119.30000E-06,+14.53815159328E+00,+14.69090415817E+00,+152.68447065E-03
+119.35000E-06,+14.52670536856E+00,+14.67876694626E+00,+151.99306226E-03
+119.40000E-06,+14.52026120673E+00,+14.67399299556E+00,+153.66415505E-03
+119.45000E-06,+14.51671748072E+00,+14.66991624017E+00,+153.13052446E-03
+119.50000E-06,+14.51492906469E+00,+14.66749649495E+00,+152.49948019E-03
+119.55000E-06,+14.51429016452E+00,+14.66640670717E+00,+152.04887393E-03
+119.60000E-06,+14.51393284298E+00,+14.66699103360E+00,+152.98954400E-03
+119.65000E-06,+14.51394660476E+00,+14.66789947602E+00,+153.88503264E-03
+119.70000E-06,+14.51560521972E+00,+14.66989280814E+00,+154.21839106E-03
+119.75000E-06,+14.50860647414E+00,+14.67522620824E+00,+166.54691976E-03
+119.80000E-06,+14.51950908641E+00,+14.68174936782E+00,+162.16906547E-03
+119.85000E-06,+14.51906390793E+00,+14.68607874684E+00,+166.94216869E-03
+119.90000E-06,+14.52678729097E+00,+14.69370589166E+00,+166.84535738E-03
+119.95000E-06,+14.53790511221E+00,+14.70131441281E+00,+163.33812017E-03
+120.00000E-06,+14.54288311668E+00,+14.70849243763E+00,+165.53689432E-03
+120.05000E-06,+14.55373048358E+00,+14.71677639471E+00,+162.97443584E-03
+120.10000E-06,+14.56170488546E+00,+14.72374567650E+00,+161.96981471E-03
+120.15000E-06,+14.56926218419E+00,+14.73066404641E+00,+161.32989699E-03
+120.20000E-06,+14.57671854637E+00,+14.73815717954E+00,+161.36768458E-03
+120.25000E-06,+14.58327457758E+00,+14.74552661194E+00,+162.18149973E-03
+120.30000E-06,+14.58928197615E+00,+14.75249950660E+00,+163.14571901E-03
+120.35000E-06,+14.59588853178E+00,+14.75861459634E+00,+162.65331493E-03
+120.40000E-06,+14.60155494098E+00,+14.76331847255E+00,+161.69272161E-03
+120.45000E-06,+14.60634648116E+00,+14.76703495384E+00,+160.61761717E-03
+120.50000E-06,+14.61187576555E+00,+14.77157734682E+00,+159.63142360E-03
+120.55000E-06,+14.61672471368E+00,+14.77633823073E+00,+159.54365556E-03
+120.60000E-06,+14.62139218002E+00,+14.78137299113E+00,+159.90948562E-03
+120.65000E-06,+14.62621431768E+00,+14.78647976399E+00,+160.19360035E-03
+120.70000E-06,+14.63064318447E+00,+14.79212988624E+00,+161.41457885E-03
+120.75000E-06,+14.63495778034E+00,+14.79606540721E+00,+161.03751513E-03
+120.80000E-06,+14.63880069254E+00,+14.79987819154E+00,+161.00689343E-03
+120.85000E-06,+14.64308687540E+00,+14.80270837875E+00,+159.55177537E-03
+120.90000E-06,+14.64614266546E+00,+14.80527289740E+00,+159.05984075E-03
+120.95000E-06,+14.64945916573E+00,+14.80764715571E+00,+158.11864744E-03
+121.00000E-06,+14.65281798174E+00,+14.81097597728E+00,+158.08787538E-03
+121.05000E-06,+14.65694309142E+00,+14.81594033907E+00,+158.92667460E-03
+121.10000E-06,+14.65979771922E+00,+14.81827087733E+00,+158.40316108E-03
+121.15000E-06,+14.66351821062E+00,+14.82459956446E+00,+161.01066271E-03
+121.20000E-06,+14.66669856901E+00,+14.82618744688E+00,+159.41804249E-03
+121.25000E-06,+14.66932967741E+00,+14.82670796500E+00,+157.30768256E-03
+121.30000E-06,+14.67270497862E+00,+14.83022968287E+00,+157.45481324E-03
+121.35000E-06,+14.67445932149E+00,+14.82787981615E+00,+153.35164463E-03
+121.40000E-06,+14.67721594873E+00,+14.83243756063E+00,+155.15269235E-03
+121.45000E-06,+14.68008630041E+00,+14.83667146652E+00,+156.51613410E-03
+121.50000E-06,+14.68250129832E+00,+14.83876691937E+00,+156.19571351E-03
+121.55000E-06,+14.68534475961E+00,+14.84669796603E+00,+161.28206474E-03
+121.60000E-06,+14.68858977808E+00,+14.84766326690E+00,+159.00396041E-03
+121.65000E-06,+14.69117315707E+00,+14.84863674854E+00,+157.39319682E-03
+121.70000E-06,+14.69345606318E+00,+14.84960727914E+00,+156.08153321E-03
+121.75000E-06,+14.69509810325E+00,+14.84641520096E+00,+151.25018933E-03
+121.80000E-06,+14.69710563585E+00,+14.84992639982E+00,+152.75286975E-03
+121.85000E-06,+14.69949136746E+00,+14.85282654016E+00,+153.26689363E-03
+121.90000E-06,+14.70190188716E+00,+14.85593173151E+00,+153.96239837E-03
+121.95000E-06,+14.70481152665E+00,+14.86188566063E+00,+157.00551926E-03
+122.00000E-06,+14.70717797278E+00,+14.86498902784E+00,+157.74068979E-03
+122.05000E-06,+14.70985929505E+00,+14.86753825755E+00,+157.60837795E-03
+122.10000E-06,+14.71177640560E+00,+14.86813107155E+00,+156.28637601E-03
+122.15000E-06,+14.71323008488E+00,+14.86536418384E+00,+152.06626741E-03
+122.20000E-06,+14.71511696580E+00,+14.86550082849E+00,+150.31751650E-03
+122.25000E-06,+14.71656071552E+00,+14.86352428005E+00,+146.89750159E-03
+122.30000E-06,+14.71898894077E+00,+14.86979428156E+00,+150.73874608E-03
+122.35000E-06,+14.72125485062E+00,+14.87532357801E+00,+154.00049183E-03
+122.40000E-06,+14.72390619201E+00,+14.87986386267E+00,+155.88856356E-03
+122.45000E-06,+14.72709337890E+00,+14.88781954892E+00,+160.65572633E-03
